Flight Distance,Mean,Median,Variance,Standard deviation,Standard error,,,,,,,,,,Q1,Q3,IQR,Lower fence,Upper fence,outlier status
3293,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
453,,,,,,,,,,,,,,,,,,,,Normal
421,,,,,,,,,,,,,,,,,,,,Normal
421,,,,,,,,,,,,,,,,,,,,Normal
421,,,,,,,,,,,,,,,,,,,,Normal
421,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
3431,,,,,,,,,,,,,,,,,,,,Normal
113,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
1869,,,,,,,,,,,,,,,,,,,,Normal
113,,,,,,,,,,,,,,,,,,,,Normal
1924,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
354,,,,,,,,,,,,,,,,,,,,Normal
2366,,,,,,,,,,,,,,,,,,,,Normal
3770,,,,,,,,,,,,,,,,,,,,Outlier
482,,,,,,,,,,,,,,,,,,,,Normal
3579,,,,,,,,,,,,,,,,,,,,Normal
2169,,,,,,,,,,,,,,,,,,,,Normal
2895,,,,,,,,,,,,,,,,,,,,Normal
2235,,,,,,,,,,,,,,,,,,,,Normal
270,,,,,,,,,,,,,,,,,,,,Normal
3628,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
1507,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
1987,,,,,,,,,,,,,,,,,,,,Normal
3442,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
2759,,,,,,,,,,,,,,,,,,,,Normal
2722,,,,,,,,,,,,,,,,,,,,Normal
2848,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
3432,,,,,,,,,,,,,,,,,,,,Normal
1954,,,,,,,,,,,,,,,,,,,,Normal
1938,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
140,,,,,,,,,,,,,,,,,,,,Normal
3325,,,,,,,,,,,,,,,,,,,,Normal
3838,,,,,,,,,,,,,,,,,,,,Outlier
158,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
1818,,,,,,,,,,,,,,,,,,,,Normal
3824,,,,,,,,,,,,,,,,,,,,Outlier
1661,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
3169,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
3687,,,,,,,,,,,,,,,,,,,,Normal
2739,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
1822,,,,,,,,,,,,,,,,,,,,Normal
3458,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
3915,,,,,,,,,,,,,,,,,,,,Outlier
2474,,,,,,,,,,,,,,,,,,,,Normal
270,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
140,,,,,,,,,,,,,,,,,,,,Normal
312,,,,,,,,,,,,,,,,,,,,Normal
3957,,,,,,,,,,,,,,,,,,,,Outlier
270,,,,,,,,,,,,,,,,,,,,Normal
3873,,,,,,,,,,,,,,,,,,,,Outlier
3800,,,,,,,,,,,,,,,,,,,,Outlier
1770,,,,,,,,,,,,,,,,,,,,Normal
113,,,,,,,,,,,,,,,,,,,,Normal
1654,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
140,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
396,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
282,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
396,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
3060,,,,,,,,,,,,,,,,,,,,Normal
2978,,,,,,,,,,,,,,,,,,,,Normal
354,,,,,,,,,,,,,,,,,,,,Normal
2607,,,,,,,,,,,,,,,,,,,,Normal
282,,,,,,,,,,,,,,,,,,,,Normal
1804,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
3409,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
312,,,,,,,,,,,,,,,,,,,,Normal
3145,,,,,,,,,,,,,,,,,,,,Normal
3310,,,,,,,,,,,,,,,,,,,,Normal
3945,,,,,,,,,,,,,,,,,,,,Outlier
113,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
1911,,,,,,,,,,,,,,,,,,,,Normal
2227,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
2500,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
396,,,,,,,,,,,,,,,,,,,,Normal
102,,,,,,,,,,,,,,,,,,,,Normal
3730,,,,,,,,,,,,,,,,,,,,Normal
1568,,,,,,,,,,,,,,,,,,,,Normal
3617,,,,,,,,,,,,,,,,,,,,Normal
1634,,,,,,,,,,,,,,,,,,,,Normal
89,,,,,,,,,,,,,,,,,,,,Normal
113,,,,,,,,,,,,,,,,,,,,Normal
1760,,,,,,,,,,,,,,,,,,,,Normal
1681,,,,,,,,,,,,,,,,,,,,Normal
3517,,,,,,,,,,,,,,,,,,,,Normal
3490,,,,,,,,,,,,,,,,,,,,Normal
1595,,,,,,,,,,,,,,,,,,,,Normal
89,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
482,,,,,,,,,,,,,,,,,,,,Normal
2553,,,,,,,,,,,,,,,,,,,,Normal
1528,,,,,,,,,,,,,,,,,,,,Normal
2540,,,,,,,,,,,,,,,,,,,,Normal
354,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
89,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
2752,,,,,,,,,,,,,,,,,,,,Normal
229,,,,,,,,,,,,,,,,,,,,Normal
2884,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
3621,,,,,,,,,,,,,,,,,,,,Normal
3008,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
3603,,,,,,,,,,,,,,,,,,,,Normal
2541,,,,,,,,,,,,,,,,,,,,Normal
2469,,,,,,,,,,,,,,,,,,,,Normal
354,,,,,,,,,,,,,,,,,,,,Normal
1549,,,,,,,,,,,,,,,,,,,,Normal
3598,,,,,,,,,,,,,,,,,,,,Normal
2068,,,,,,,,,,,,,,,,,,,,Normal
164,,,,,,,,,,,,,,,,,,,,Normal
3003,,,,,,,,,,,,,,,,,,,,Normal
1709,,,,,,,,,,,,,,,,,,,,Normal
3690,,,,,,,,,,,,,,,,,,,,Normal
2241,,,,,,,,,,,,,,,,,,,,Normal
354,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
140,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
89,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
1935,,,,,,,,,,,,,,,,,,,,Normal
247,,,,,,,,,,,,,,,,,,,,Normal
396,,,,,,,,,,,,,,,,,,,,Normal
2938,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
158,,,,,,,,,,,,,,,,,,,,Normal
3418,,,,,,,,,,,,,,,,,,,,Normal
3425,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
1827,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
2526,,,,,,,,,,,,,,,,,,,,Normal
1665,,,,,,,,,,,,,,,,,,,,Normal
2055,,,,,,,,,,,,,,,,,,,,Normal
3462,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
309,,,,,,,,,,,,,,,,,,,,Normal
1956,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
134,,,,,,,,,,,,,,,,,,,,Normal
3983,,,,,,,,,,,,,,,,,,,,Outlier
3437,,,,,,,,,,,,,,,,,,,,Normal
2298,,,,,,,,,,,,,,,,,,,,Normal
2494,,,,,,,,,,,,,,,,,,,,Normal
312,,,,,,,,,,,,,,,,,,,,Normal
3460,,,,,,,,,,,,,,,,,,,,Normal
3904,,,,,,,,,,,,,,,,,,,,Outlier
